,mean,std,min,1%,5%,50%,95%,99%,max
mass_1,61.67136764526367,20.005897521972656,5.090867042541504,13.519555292129516,24.077560329437258,65.13062286376953,87.83726921081542,89.57189308166504,89.9999008178711
mass_2,33.34560775756836,20.031253814697266,5.000007152557373,5.423150115013122,7.157568836212159,29.92568302154541,70.93237686157225,81.46999526977542,89.9336929321289
total_mass,95.01696014404297,34.66739273071289,10.167550086975098,22.014760780334473,36.92257080078125,94.98429870605469,153.10535507202147,167.88353103637695,179.88754272460938
chirp_mass,37.46860885620117,16.49730110168457,4.425678253173828,8.811924667358399,13.313441228866576,36.15920448303223,66.24787635803223,73.00035491943359,78.30059814453125
chi_eff,0.0009781919652596116,0.4406675696372986,-0.9976221323013306,-0.8760854005813599,-0.720979118347168,0.0007844784413464367,0.72280333340168,0.8772488641738891,0.9996587634086609
distance,1698.9251708984375,1173.6636962890625,26.35116195678711,211.2587760925293,370.1557327270508,1394.2996826171875,4067.2790771484374,5084.5488867187505,12964.3359375
snr_initial_network,17.989112854003906,26.21954345703125,0.18615393340587616,1.2077919590473174,2.192972779273987,9.71199893951416,62.94710083007809,136.51138137817384,476.2518005371094
snr_network,16.902427673339844,4.3581929206848145,10.00000286102295,10.113290662765502,10.575216388702392,16.59131622314453,24.103432178497314,24.818411083221434,24.999963760375977
snr_distance_before_rescale,2599.2353515625,1386.7119140625,200.0050811767578,248.28518936157226,440.0281448364258,2596.851806640625,4760.6912841796875,4952.426894531251,4999.97412109375
snr_distance_after_rescale,1698.9251708984375,1173.6636962890625,26.35116195678711,211.2587760925293,370.1557327270508,1394.2996826171875,4067.2790771484374,5084.5488867187505,12964.3359375
